ts,ff_l,ff_r,n1_l,n1_r,n2_l,n2_r,roll,acc,alt,roc,tas,sat,spress,cas,mach,alt_gnss,lat,lon,gs,hdg,trk,wspd,wagl,mass,fuelburn
7,,,,,,,-0.19775390625,-0.0037708676147460924,-10.0,-9.142857142857142,0.0,11.75,30.411999999999995,0.0,0.0,-28.0,51.949091674759984,4.438129048794508,0.0,-32.592315673828125,-32.607421875,,,,
8,,,,,,,-0.19764826847956732,-0.004719339810884916,-10.5,-31.0,0.0,11.75,30.412750000000003,0.0,0.0,-27.0,51.949091674759984,4.438128042966127,0.0,-32.596435546875,-32.607421875,,,,
9,0.022799126135075207,0.022884590211908844,,,,,-0.19775390625,-0.0035682813204251807,-10.8125,-13.0,0.0,11.75,30.413000000000004,0.0,0.0,-27.0,51.94909142330289,4.438127037137747,0.0,-32.60028076171875,-32.607421875,,,5978.901276283653,0.04568371634698405
10,0.02280388489337253,0.022903812863922315,28.679894555066547,29.513875906904772,47.21194859600112,47.60175184169119,-0.19920493071933962,-0.004258916414701021,-11.0,-16.0,0.0,11.75,30.413000000000004,0.0,0.0,-27.0,51.949091171845794,4.438126031309366,0.0,-32.600830078125,-32.607421875,,,5978.8555685858955,0.0913914141042789
11,0.022808657541110035,0.022943087302947657,28.61166047885241,29.45067990974808,47.22361557569904,47.6143214953813,-0.2016625037560096,0.000759698603703425,-11.0,-22.0,0.0,11.75,30.413000000000004,0.0,0.0,-27.0,51.94909083656967,4.438124941661954,0.0,-32.60137939453125,-32.607421875,,,5978.8098168410515,0.1371431589483366
12,0.02280725753542766,0.022959088718267052,28.832059667115097,29.55191365868076,47.238209461372854,47.62484222006841,-0.2032470703125,-0.004291493541789501,-10.25,21.0,0.0,11.75,30.4125,0.0,0.0,-27.0,51.94909050129354,4.438124019652605,0.0,-32.60302734375,-32.607421875,,,5978.7640504947985,0.1829095052020313
13,0.022809106366887762,0.02296974357506334,28.734881184122766,29.388299150017563,47.24879316801156,47.62752036264064,-0.20514855018028846,-0.006330821697528546,-10.0,10.0,0.0,11.875,30.412000000000003,0.0,0.0,-26.0,51.949090249836445,4.43812326528132,0.0,-32.60137939453125,-32.607421875,,,5978.718271644856,0.22868835514398242
14,0.022817494031040508,0.022970275951825016,28.415231829269786,29.176710245387063,47.250754280650206,47.62934397966762,-0.20694439227764422,-0.002900667395958534,-10.0,-5.0,0.0,12.0,30.412000000000003,0.0,0.0,-26.0,51.94908991456032,4.438122594729066,0.0,-32.60302734375,-32.607421875,,,5978.672483874873,0.27447612512684794
15,0.022817739662730457,0.022973458912274702,28.367193758686266,28.992270986448,47.2574467976216,47.64167251758986,-0.20810640775240385,-0.002578371018629808,-10.0,-2.0,0.0,12.0,30.412000000000003,0.0,0.0,-26.0,51.94908966310322,4.438122007995844,0.0,-32.607421875,-32.607421875,,,5978.626692676298,0.32026732370185307
16,0.02281777069308412,0.022971558483708472,28.446466231334078,29.019392726864254,47.261658651690546,47.64264941033965,-0.207366943359375,-0.0056632077730618974,-10.0,-1.0,0.0,12.0,30.412000000000003,0.0,0.0,-26.0,51.94908949546516,4.438121505081654,0.0,-32.607421875,-32.607421875,,,5978.580903347121,0.36605665287864564
