uid,name,manufacturer,type,bpr,pr,max_thrust,ei_hc_to,ei_hc_co,ei_hc_app,ei_hc_idl,ei_co_to,ei_co_co,ei_co_app,ei_co_idl,ei_nox_to,ei_nox_co,ei_nox_app,ei_nox_idl,ff_to,ff_co,ff_app,ff_idl,fuel_lto,fuel_c3,fuel_c2,fuel_c1,cruise_thrust,cruise_sfc,cruise_mach,cruise_alt
1AS001,TFE731-2-2B,Allied Signal,TF,2.64,13.9,15600,0.114,0.128,4.26,20.04,1.394,2.03,22.38,58.6,15.25,13.08,5.9,2.82,0.205,0.173,0.067,0.024,85,0.109854,-0.179687,0.275497,,,,
1AS002,TFE731-3,Allied Signal,TF,2.64,14.3,16500,0.062,0.072,1.41,9.04,1.13,1.62,15.56,47.7,19.15,16.02,6.92,3.72,0.225,0.186,0.072,0.026,92,0.15942,-0.239645,0.305908,3634,0.0232,0.8,40000
4AL003,AE3007A,Rolls-Royce Corporation,MTF,5.23,18.08,33730,0.25,0.29,0.64,2.51,0.75,0.92,3.28,17.35,20.54,17.47,7.79,3.83,0.377,0.315,0.117,0.049,162,0.237294,-0.357327,0.498916,,,,
6AL007,AE3007A1,Rolls-Royce Corporation,MTF,4.77,17.97,34910,0.03,0.03,0.03,3.85,0.75,0.56,6.72,39.91,16.17,14.07,7.13,4.17,0.3826,0.318,0.113,0.0461,157,0.205751,-0.287477,0.466097,,,,
6AL010,AE3007A1/1,Rolls-Royce Corporation,MTF,4.77,17.9,34740,0.03,0.03,0.03,3.88,0.74,0.55,6.8,40.07,16.1,14.01,7.12,4.17,0.3805,0.3163,0.1125,0.0459,156,0.205078,-0.287079,0.464264,,,,
6AL013,AE3007A1/3,Rolls-Royce Corporation,MTF,4.81,17.22,33050,0.03,0.03,0.03,3.81,0.5,0.5,7.62,38.47,15.42,13.49,6.93,4.27,0.3589,0.2999,0.1077,0.0449,151,0.192897,-0.279539,0.447323,,,,
6AL020,AE3007A1E,Rolls-Royce Corporation,MTF,4.72,19.06,37160,0.03,0.03,0.03,3.52,0.77,0.64,5.63,37.97,17.17,14.91,7.42,4.26,0.4122,0.3425,0.12,0.0475,165,0.198972,-0.269733,0.484733,,,,
6AL016,AE3007A1P,Rolls-Royce Corporation,MTF,4.77,17.9,34740,0.03,0.03,0.03,3.86,0.74,0.55,6.79,39.97,16.1,14.01,7.12,4.17,0.3806,0.3163,0.1126,0.046,157,0.207177,-0.290209,0.465399,,,,
10AL026,AE3007A2,Rolls-Royce Corporation,MTF,4.79,20.2,42230,0,0,0,1.71,0.71,0.74,4.08,34.17,18.61,15.99,7.9,4.39,0.466,0.388,0.138,0.055,189,0.236637,-0.331953,0.563363,,,,
6AL019,AE3007A3,Rolls-Royce Corporation,MTF,4.72,17.2,33000,0.03,0.03,0.03,4.1,0.5,0.5,7.65,41.29,15.4,13.48,6.93,4.12,0.3583,0.2995,0.1076,0.0448,150,0.191576,-0.278096,0.446594,,,,
