icao,lat,lon,alt,country,name,location
AGAF,-9.19195,160.94687,20,SB,Afutara,Taro'a
AGAR,-9.85819,161.97568,41,SB,Ulawa,Kirakira
AGAT,-8.87023,161.00875,24,SB,Uru Harbour,Auki
AGBT,-8.56517,158.11903,10,SB,Batuna,Gizo
AGEV,-7.57289,156.59635,70,SB,Geva,Gizo
AGGA,-8.70687,160.68115,5,SB,Auki,Auki
AGGB,-11.30089,159.79539,55,SB,Bellona/Anua,Honiara
AGGC,-6.7087,156.39402,5,PG,Choiseul Bay,Kieta
AGGD,-9.74413,159.83947,80,SB,Mbambanakira,Honiara
AGGF,-8.10996,159.57686,5,SB,Fera,Buala
AGGH,-9.43199,160.04523,28,SB,Honiara Intl,Honiara
AGGK,-10.44744,161.89332,20,SB,Kirakira,Kirakira
AGGL,-10.72224,165.7915,10,SB,Santa Cruz/Graciosa Bay/Luova,Lata
AGGM,-8.32812,157.25684,14,SB,Munda,Gizo
AGGN,-8.09422,156.86162,13,SB,Nusatope,Gizo
AGGO,-7.42585,155.55679,20,PG,Mono,Panguna
AGGP,-9.63928,161.42251,80,SB,Marau Sound,Taro'a
AGGS,-8.57737,157.87176,5,SB,Seghe,Gizo
AGGT,-10.84623,162.45068,100,SB,Santa Anna,Kirakira
AGGU,-9.86359,160.8234,10,SB,Marau,Taro'a
AGGV,-7.58804,158.72821,7,SB,Suavanao,Buala
AGGY,-9.08887,159.21333,42,SB,Yandina,Honiara
AGKU,-8.02398,156.94597,20,SB,Kukudu,Gizo
AGRC,-8.13073,157.14153,20,SB,Ringi Cove,Gizo
AGRM,-8.16334,157.63691,46,SB,Ramata,Gizo
ANYN,-0.54123,166.9117,24,NR,Nauru International,Arijejen
AYAY,-6.33763,145.90078,5100,PG,Aiyura,Kainantu
AYBK,-5.42704,154.66757,11,PG,Buka,Buka
AYBM,-8.05086,142.93878,98,PG,Balimo,Daru
AYCH,-6.02755,144.9683,4900,PG,Chimbu,Kundiawa
AYDU,-9.09206,143.21277,20,PG,Daru,Daru
AYGA,-6.09025,145.39193,5198,PG,Goroka,Goroka
AYGN,-10.31302,150.34133,66,PG,Gurney,Alotau
AYGR,-8.81045,148.30432,285,PG,Girua,Popondetta
AYHK,-5.4573,150.39976,66,PG,Hoskins,Kimbe
AYKM,-7.96,145.76889,10,PG,Kerema,Kerema
AYKP,-8.89008,147.73108,1290,PG,Kokoda,Kokoda
AYKV,-2.575,150.80179,12,PG,Kavieng,Kavieng
AYKY,-3.03997,152.6253,178,PG,Londolovit,Rabaul
AYMD,-5.21038,145.78158,10,PG,Madang,Madang
AYMH,-5.82306,144.2909,5362,PG,Mount Hagen,Mount Hagen
AYMN,-6.14171,143.65641,5680,PG,Mendi,Mendi
AYMO,-2.05393,147.42138,12,PG,Momote,Lorengau
AYNZ,-6.56887,146.71517,46,PG,Nadzab,Lae
AYPY,-9.43087,147.21389,146,PG,Port Moresby Jacksons Intl,Port Moresby
AYTE,-5.13428,141.63267,4232,PG,Telefomin,Kiunga
AYTK,-4.33824,152.37226,29,PG,Tokua,Kokopo
AYVN,-2.68762,141.29679,10,PG,Vanimo,Vanimo
AYWD,-5.63807,143.8908,5889,PG,Wapenamanda,Wabag
AYWK,-3.58207,143.66223,19,PG,Wewak,Wewak
BGAA,68.72102,-52.79445,74,GL,Aasiaat,Aasiaat
BGBW,61.15435,-45.43692,112,GL,Narsarsuaq,Narsaq
BGCO,70.73778,-22.65315,45,IS,Nerlerit Inaat/Constable Pynt,Isafjoerdur
BGGH,64.18897,-51.67955,283,GL,Nuuk,Nuuk
BGJN,69.24133,-51.06837,95,GL,Ilulissat/Jakobshavn,Ilulissat
BGKK,65.57304,-37.13664,114,GL,Kulusuk,Tasiilaq
BGMA,65.43129,-52.94062,91,GL,Maniitsoq,Maniitsoq
BGQQ,77.49111,-69.40647,68,CA,Qaanaaq,Clyde River
BGSF,67.00561,-50.74307,165,GL,Kangerlussuaq,Qasigiannguit
BGSS,66.95207,-53.73825,33,GL,Sisimiut,Sisimiut
BGTL,76.53001,-68.76151,251,CA,Thule Air Base,Clyde River
BGUK,72.78655,-56.13259,413,GL,Upernavik,Upernavik
BGUQ,70.73617,-52.70678,289,GL,Qaarsut Ummannaq,Uummannaq
BIAE,65.90386,-22.36839,20,IS,Arngerdareyri,Isafjoerdur
BIAL,63.54114,-18.45614,160,IS,Alftaver,Vestmannaeyjar
BIAR,65.64584,-18.06994,5,IS,Akureyri,Akureyri
BIBA,63.55287,-20.15231,29,IS,Bakki,Vestmannaeyjar
BIBD,65.63754,-23.55088,25,IS,Bildudalur,Isafjoerdur
BIBF,65.52107,-13.81718,80,IS,Borgarfjordur Eystri,Neskaupstadur
BIBI,66.13361,-22.57564,60,IS,Baeir,Isafjoerdur
BIBK,66.01948,-14.83012,100,IS,Bakkafjordur,Egilsstadir
BIBL,65.64121,-20.2901,130,IS,Blonduos,Saudarkrokur
BIBR,65.07235,-21.80825,130,IS,Budardalur,Borgarnes
BIBV,64.79132,-14.05223,7,IS,Breidalsvik,Eskifjoerdur
BIDG,64.74929,-23.73771,130,IS,Dagverdara,Olafsvik
BIDV,64.64578,-14.27951,8,IS,Djupivogur,Reydarfjoerdur
BIEG,65.27469,-14.41127,76,IS,Egilsstadir,Egilsstadir
BIEH,64.24404,-20.30671,359,IS,Einholtsmelar,Selfoss
BIFF,64.9329,-14.06818,15,IS,Faskrudsfjordur,Eskifjoerdur
BIFL,64.14184,-20.33059,269,IS,Fludir,Selfoss
BIFM,63.8739,-16.65353,56,IS,Fagurholsmyri,Hoefn
BIFZ,63.84711,-20.71889,32,IS,Forsaeti,Selfoss
BIGE,64.30841,-20.27556,350,IS,Geysir,Selfoss
BIGH,63.8491,-20.27861,196,IS,Gunnarsholt,Vestmannaeyjar
BIGJ,65.99145,-21.33187,98,IS,Gjogur,Borgarnes
BIGR,66.55041,-18.02133,65,IS,Grimsey,Dalvik
BIGS,65.6306,-16.15439,1275,IS,Grimsstadir,Laugar
BIHE,65.1877,-16.20456,1500,IS,Herdubreidalind,Laugar
BIHI,64.88298,-19.4885,1994,IS,Hveravellir,Saudarkrokur
BIHK,65.69878,-21.69615,89,IS,Holmavik,Borgarnes
BIHL,63.83106,-20.37911,64,IS,Hella,Vestmannaeyjar
BIHN,64.30227,-15.23079,23,IS,Hornafjordur,Hoefn
BIHR,63.74925,-20.25303,100,IS,Hvalsvollur,Vestmannaeyjar
BIHS,65.75528,-23.47098,30,IS,Hrafnseyri,Isafjoerdur
