phase,param,opt,min,max,model,pm
TO,to_v_lof,96.4,83.9,109.0,norm,96.5|8.7
TO,to_d_tof,2.21,1.38,3.04,norm,2.21|0.50
TO,to_acc_tof,1.89,1.45,2.33,norm,1.89|0.27
IC,ic_va_avg,98,88,106,beta,3|3|80|33
IC,ic_vs_avg,13.02,9.69,16.36,norm,13.03|2.03
CL,cl_d_range,214,173,354,gamma,4|161|17
CL,cl_v_cas_const,164,158,170,norm,164|3
CL,cl_v_mach_const,0.83,0.80,0.86,norm,0.83|0.02
CL,cl_h_cas_const,3.8,1.8,5.9,norm,3.8|1.3
CL,cl_h_mach_const,8.8,8.1,9.5,norm,8.8|0.4
CL,cl_vs_avg_pre_cas,8.99,6.80,11.19,norm,8.99|1.33
CL,cl_vs_avg_cas_const,8.55,6.41,12.95,gamma,7.87|3.61|0.72
CL,cl_vs_avg_mach_const,5.76,3.31,10.81,gamma,7.72|0.15|0.83
CR,cr_d_range,4843,758,14177,beta,1|1|606|14106
CR,cr_v_cas_mean,148,139,158,norm,148|5
CR,cr_v_cas_max,159,142,175,norm,159|10
CR,cr_v_mach_mean,0.84,0.82,0.86,norm,0.84|0.01
CR,cr_v_mach_max,0.86,0.84,0.91,gamma,5.16|0.82|0.01
CR,cr_h_init,9.63,8.74,11.52,gamma,7.37|7.62|0.32
CR,cr_h_mean,10.35,9.75,11.40,gamma,12.87|8.67|0.14
CR,cr_h_max,11.00,10.31,11.69,norm,11.00|0.42
DE,de_d_range,257,197,476,gamma,3|182|28
DE,de_v_mach_const,0.82,0.79,0.86,norm,0.82|0.02
DE,de_v_cas_const,156,140,167,beta,4|3|124|50
DE,de_h_mach_const,9.7,8.6,10.8,norm,9.7|0.7
DE,de_h_cas_const,6.7,4.2,9.2,norm,6.7|1.5
DE,de_vs_avg_mach_const,-7.04,-12.03,-2.02,norm,-7.02|3.04
DE,de_vs_avg_cas_const,-9.05,-13.36,-4.72,norm,-9.04|2.63
DE,de_vs_avg_after_cas,-6.30,-7.92,-4.67,norm,-6.30|0.99
FA,fa_va_avg,78,73,83,norm,78|3
FA,fa_vs_avg,-4.03,-4.49,-3.27,gamma,15.93|-5.43|0.09
FA,fa_agl,2.95,2.44,3.46,norm,2.95|0.31
LD,ld_v_app,76.9,70.8,83.1,norm,76.9|4.3
LD,ld_d_brk,1.49,0.84,3.52,gamma,3.57|0.34|0.45
LD,ld_acc_brk,-1.33,-2.00,-0.66,norm,-1.33|0.41
