engine,cruise_thrust,cruise_sfc,cruise_mach,cruise_alt
TF1000,1201,0.0181,0.6,30000
TF1200,1779,0.0187,0.6,30000
TF1400,1779,0.0187,0.6,30000
TF1500,1765,0.0193,0.6,30000
TJ60,133,0.0425,0.9,20000
TJ75,213,0.0425,0.9,20000
TJ80,213,0.0425,0.9,20000
ALF502L,9563,0.0207,0.75,30000
ALF502R-5,10008,0.0204,0.7,25000
CFE738-1-1B,6512,0.0183,0.8,40000
CFM56-2C1,22152,0.019,0.8,35000
CFM56-3B1,20684,0.0189,0.8,35000
CFM56-3B2,22419,0.0189,0.8,35000
CFM56-3C1,23886,0.0189,0.8,35000
CFM56-5A1,22241,0.0169,0.8,35000
CFM56-5A3,22241,0.0169,0.8,35000
CFM56-5A4,22241,,0.8,35000
CFM56-5A5,22241,,0.8,35000
CFM56-5B1,25977,0.0169,0.8,35000
CFM56-5B2,25977,0.0154,0.8,35000
CFM56-5B3,25977,,0.8,35000
CFM56-5B4,22241,0.0154,0.8,35000
CFM56-5C2,30759,0.0154,0.8,35000
CFM56-5C3,30737,0.0154,0.8,35000
CFM56-5C4,31582,0.0154,0.8,35000
CFM56-7B18,24109,,0.8,35000
CFM56-7B20,24242,0.0179,0.8,35000
CFM56-7B22,24242,,0.8,35000
CFM56-7B24,24376,0.0178,0.8,35000
CFM56-7B26,24376,,0.8,35000
GP7270,56194,,0.85,35000
GP7277,60940,,0.85,35000
TFE731-2,3358,0.0231,0.8,40000
TFE731-3,3634,0.0232,0.8,40000
TFE731-3A-2B,3727,0.0233,0.8,40000
TFE731-3B-100,3754,0.0231,0.8,40000
TFE731-4,4132,0.0225,0.8,40000
TFE731-5,4248,0.0227,0.8,40000
TFE731-5AR,4385,0.0218,0.8,40000
TFE731-5BR,4679,0.0214,0.8,40000
TFE731-20,3896,0.0206,0.8,40000
CF6-6D,40389,0.0183,0.8,35000
CF6-6D1,41012,0.0183,0.8,35000
CF6-6D1A,41012,0.0183,0.8,35000
CF6-45A,50042,0.0178,0.8,35000
CF6-45A2,50042,0.0178,0.8,35000
CF6-45B,50042,0.0178,0.8,35000
CF6-45B2,50042,0.0178,0.8,35000
CF6-50C,49375,0.0186,0.8,35000
CF6-50C1,51399,0.0186,0.8,35000
CF6-50C2,51399,0.0178,0.8,35000
CF6-50C2B,51399,0.0178,0.8,35000
CF6-50C2F,51399,0.0178,0.8,35000
CF6-50E,51399,0.0186,0.8,35000
CF6-50E1,51399,0.0186,0.8,35000
CF6-50E2,51399,0.0178,0.8,35000
CF6-50E2B,52177,0.0178,0.8,35000
CF6-80A,49130,0.0176,0.8,35000
CF6-80A1,49130,0.0176,0.8,35000
CF6-80A2,49130,0.0176,0.8,35000
CF6-80A3,49130,0.0176,0.8,35000
CF6-80C2,50398,,0.85,35000
CF6-80C2A1,52533,0.0163,0.8,35000
CF6-80C2A2,50398,0.0164,0.8,35000
CF6-80C2A3,50442,0.0163,0.8,35000
CF6-80C2B1,57026,0.0163,0.8,35000
CF6-80C2B1F,57026,0.016,0.8,35000
CF6-80C2B2,53378,0.0163,0.8,35000
GE90-76B,77843,0.0154,0.83,35000
GE90-85B,77843,0.0147,0.83,35000
AI-25,4341,0.0225,0.5,20000
D-18T,47667,0.0161,0.75,36100
D-18T-1,51581,0.0174,0.8,36100
JT8D-7,18993,0.0225,0.8,30000
JT8D-7 (HK3),18993,0.0225,0.8,30000
JT8D-7A,18993,0.0225,0.8,30000
JT8D-7A (HK3),18993,0.0225,0.8,30000
JT8D-7B,18993,0.0225,0.8,30000
JT8D-7B (HK),18993,0.0225,0.8,30000
JT8D-7B (HK3),18993,0.0225,0.8,30000
