phase,param,opt,min,max,model,pm
TO,to_v_lof,89.9,75.4,104.4,norm,89.93|10.07
TO,to_d_tof,2.56,1.35,3.78,norm,2.56|0.74
TO,to_acc_tof,1.35,1.04,1.66,norm,1.35|0.19
IC,ic_va_avg,88,80,96,norm,88.15|5.64
IC,ic_vs_avg,5.65,4.40,8.94,gamma,4.76|3.22|0.65
CL,cl_d_range,296,200,446,beta,3.23|5.18|179.46|335.24
CL,cl_v_cas_const,163,155,170,norm,163.39|4.51
CL,cl_v_mach_const,0.84,0.80,0.86,beta,12.23|5.32|0.72|0.17
CL,cl_h_cas_const,3.3,1.3,5.3,norm,3.29|1.24
CL,cl_h_mach_const,8.9,8.2,9.7,norm,8.94|0.47
CL,cl_vs_avg_pre_cas,7.85,5.95,9.75,norm,7.85|1.16
CL,cl_vs_avg_cas_const,7.51,5.20,9.82,norm,7.51|1.40
CL,cl_vs_avg_mach_const,5.56,3.23,7.91,norm,5.57|1.42
CR,cr_d_range,4348,892,20565,gamma,2.81|246.73|2274.81
CR,cr_v_cas_mean,136,130,145,beta,3.32|5.27|126.00|29.75
CR,cr_v_cas_max,145,134,164,beta,2.02|3.21|130.38|46.65
CR,cr_v_mach_mean,0.84,0.82,0.86,norm,0.84|0.01
CR,cr_v_mach_max,0.87,0.85,0.90,gamma,16.14|0.80|0.00
CR,cr_h_init,11.55,9.30,12.23,beta,3.82|1.66|7.49|5.01
CR,cr_h_mean,11.73,10.87,12.28,beta,7.22|3.92|9.59|3.14
CR,cr_h_max,12.06,11.52,12.60,norm,12.06|0.33
DE,de_d_range,310,238,528,gamma,4.73|213.47|25.87
DE,de_v_mach_const,0.83,0.80,0.87,norm,0.83|0.02
DE,de_v_cas_const,154,142,167,norm,154.84|7.74
DE,de_h_mach_const,10.1,8.6,11.5,norm,10.06|0.88
DE,de_h_cas_const,6.6,3.9,9.4,norm,6.64|1.69
DE,de_vs_avg_mach_const,-6.06,-11.90,-2.97,beta,3.43|2.08|-15.98|14.36
DE,de_vs_avg_cas_const,-8.36,-11.74,-4.97,norm,-8.36|2.06
DE,de_vs_avg_after_cas,-5.48,-6.93,-4.02,norm,-5.48|0.88
FA,fa_va_avg,73,68,77,norm,73.28|3.02
FA,fa_vs_avg,-3.71,-4.13,-2.92,gamma,9.49|-4.74|0.12
FA,fa_agl,2.90,2.42,3.38,norm,2.90|0.29
LD,ld_v_app,70.0,62.1,78.0,norm,70.00|5.52
LD,ld_d_brk,2.26,0.73,3.80,norm,2.26|0.93
LD,ld_acc_brk,-1.01,-1.51,-0.52,norm,-1.01|0.30
