phase,param,opt,min,max,model,pm
TO,to_v_lof,83.6,72.3,94.8,norm,83.58|7.82
TO,to_d_tof,1.50,1.03,2.58,gamma,5.97|0.52|0.20
TO,to_acc_tof,1.77,1.31,2.23,norm,1.77|0.28
IC,ic_va_avg,81,71,91,norm,81.31|6.79
IC,ic_vs_avg,11.93,8.05,15.83,norm,11.94|2.37
CL,cl_d_range,204,155,348,gamma,5.17|136.24|16.48
CL,cl_v_cas_const,151,139,164,norm,151.95|7.82
CL,cl_v_mach_const,0.78,0.72,0.81,beta,33.60|3.10|0.26|0.56
CL,cl_h_cas_const,3.4,2.2,6.1,gamma,6.82|0.72|0.46
CL,cl_h_mach_const,8.9,7.9,9.8,norm,8.85|0.59
CL,cl_vs_avg_pre_cas,11.40,8.01,14.82,norm,11.41|2.07
CL,cl_vs_avg_cas_const,11.71,8.49,14.93,norm,11.71|1.96
CL,cl_vs_avg_mach_const,6.74,4.40,9.08,norm,6.74|1.42
CR,cr_d_range,453,175,4929,gamma,1.38|156.17|773.74
CR,cr_v_cas_mean,122,115,136,gamma,11.06|103.01|1.94
CR,cr_v_cas_max,126,118,150,gamma,3.76|111.86|5.16
CR,cr_v_mach_mean,0.78,0.74,0.80,beta,14.90|4.49|0.63|0.19
CR,cr_v_mach_max,0.80,0.76,0.83,norm,0.80|0.02
CR,cr_h_init,12.52,10.36,12.47,beta,5.29|0.98|7.50|5.02
CR,cr_h_mean,11.74,10.73,12.75,norm,11.74|0.61
CR,cr_h_max,11.90,11.03,12.78,norm,11.90|0.53
DE,de_d_range,244,173,566,gamma,2.89|159.35|44.87
DE,de_v_mach_const,0.78,0.70,0.81,beta,22.01|2.63|0.28|0.54
DE,de_v_cas_const,146,133,159,norm,146.60|7.70
DE,de_h_mach_const,9.6,8.1,11.2,norm,9.63|0.95
DE,de_h_cas_const,5.7,3.0,8.5,norm,5.73|1.69
DE,de_vs_avg_mach_const,-5.63,-13.13,-2.29,beta,2.76|1.69|-17.10|16.02
DE,de_vs_avg_cas_const,-9.39,-14.21,-4.55,norm,-9.38|2.94
DE,de_vs_avg_after_cas,-5.85,-7.84,-3.86,norm,-5.85|1.21
FA,fa_va_avg,70,65,80,gamma,7.33|58.48|1.90
FA,fa_vs_avg,-3.58,-4.45,-2.70,norm,-3.58|0.53
FA,fa_agl,3.08,2.28,3.87,norm,3.08|0.48
LD,ld_v_app,68.8,62.9,74.6,norm,68.78|4.05
LD,ld_d_brk,1.91,0.66,4.39,beta,1.32|1.63|0.35|4.63
LD,ld_acc_brk,-0.83,-1.90,-0.31,beta,5.10|2.45|-3.08|3.04
