engine,nox_c,nox_p,co_beta,co_gamma,co_max,co_min,hc_na,hc_max,hc_min,hc_ff85,hc_beta,hc_gamma,hc_a1,hc_b1,hc_b2
TFE731-2-2B,55.6278,0.820946,1.93474,0.904528,117.2,1.712,False,40.08,0.121,0.173,0.199659,2.49385,,,
TFE731-3,65.6935,0.83328,1.17095,1.01216,95.4,1.375,False,18.08,0.067,0.186,0.0227167,3.7504,,,
AE3007A,45.7175,0.825702,0.293871,1.61288,34.7,0.835,False,5.02,0.27,0,0.369406,1.38932,,,
AE3007A1,30.0417,0.653339,0.395084,1.67906,79.82,0.655,False,7.7,0.03,0,,,-5.41464,-6.65012,-1.52288
AE3007A1/1,29.9609,0.651482,0.399728,1.67114,80.14,0.645,False,7.76,0.03,0,,,-5.42382,-6.66926,-1.52288
AE3007A1/3,29.3484,0.637129,0.471398,1.55484,76.94,0.5,False,7.62,0.03,0,,,-5.53677,-6.88128,-1.52288
AE3007A1E,30.5601,0.660211,0.351372,1.74793,75.94,0.705,False,7.04,0.03,0,4.19702e-07,8.56658,,,
AE3007A1P,29.9739,0.651985,0.399029,1.67267,79.94,0.645,False,7.72,0.03,0,,,-5.42585,-6.66909,-1.52288
AE3007A2,31.1138,0.687572,0.251977,2.01055,68.34,0.725,False,3.42,0,0,,,-18.1044,-22.572,-7
AE3007A3,29.6525,0.646071,0.43239,1.62276,82.58,0.5,False,8.2,0.03,0,,,-5.61227,-6.95661,-1.52288
AE3007C,42.9307,0.781102,0.235538,1.70484,52.64,1.05,False,9.906,0.2725,0,0.0335313,3.52298,,,
AE3007C1,58.17,0.924148,0.00325501,3.52961,72.08,1e-07,False,11.76,0.005,0.2689,2.4104e-05,6.86909,,,
AE3007C2,64.3598,0.982277,0.0067782,3.28225,46.18,1e-07,False,5.14,0.005,0.2714,0.000189929,5.79602,,,
D-30,16.8649,0.807885,3.5405,1.38504,120.6,2.95,False,87.2,0.13,0,0.675729,3.01462,,,
D-30KP-2,10.761,0.774977,5.18786,1.58925,124.8,2.5,False,26.6,0.75,0,2.41522,1.33414,,,
D-30KU,10.3148,0.997309,4.14195,1.66767,108,3.25,False,21,0.35,0,1.62688,1.64933,,,
D-30KU-154,10.7408,0.848395,3.66591,1.93678,155.4,3.3,False,25.4,0.45,0,1.42152,1.92335,,,
PS-90A,19.0959,1.01855,1.05203,1.65811,30.36,0.43,False,2.64,0.115,1.279,2.25859,-0.306308,,,
PS-90A1,20.2443,1.06865,1.08161,1.58419,25.82,0.39,False,1.44,0.1,0,1.10327,0.10056,,,
PS-90A2,22.5613,1.1369,1.37597,1.51035,33.58,0.545,False,5.76,0.125,0,0.81426,1.4628,,,
BR700-710A1-10,22.8734,0.695484,0.723503,1.64336,55.64,0.985,False,2.18,0.02,0,0.00485144,4.74729,,,
BR700-710A2-20,22.7709,0.694282,0.725702,1.644,56,0.985,False,2.24,0.02,0,0.00457166,4.79252,,,
BR700-710C4-11,22.977,0.700005,0.765841,1.60476,63.14,0.98,False,4.58,0.02,0,0.00176849,5.52617,,,
BR700-715A1-30,23.1445,0.735368,0.889141,1.45072,39.44,0.645,False,0.22,0.055,0,0.468769,-0.102532,,,
BR700-715B1-30,24.9321,0.793868,0.910691,1.43108,37.2,0.675,False,0.14,0.045,0,0.657626,-0.830693,,,
BR700-715C1-30,26.7299,0.860461,0.923411,1.41783,35.7,0.72,False,0.12,0.035,0,0.622402,-0.823206,,,
BR-700-725A1-12,18.9566,0.650812,0.810878,1.70101,83.8,0.36,False,6,0,0,,,-18.0183,-18.8129,-7
CFM56-2A,18.76,0.699249,0.935094,1.71821,47,0.9,False,2.26,0.04,0,0.119382,3.13734,,,
CFM56-2B-1,18.6434,0.726218,0.962776,1.81069,61.4,0.9,False,3.66,0.045,0,0.0536609,4.11945,,,
CFM56-2-C5,18.6434,0.726218,0.962776,1.81069,61.4,0.9,False,3.66,0.045,0,0.0536609,4.11945,,,
CFM56-3-B1,18.3214,0.67524,0.760348,1.92313,68.8,0.925,False,4.56,0.045,0,0.033666,4.38762,,,
CFM56-3B-2,18.5411,0.6831,0.86563,1.80777,60.2,0.9,False,3.5,0.0415,0,0.0676162,3.77719,,,
CFM56-3C-1,18.2146,0.67101,0.687573,2.01753,76.2,0.95,False,5.72,0.05,0,0.0140781,5.03275,,,
CFM56-5-A1,23.0244,0.837566,0.845486,1.44311,35.2,0.9,False,2.8,0.23,0,0.908535,0.489098,,,
CFM56-5A3,23.2731,0.849583,0.925264,1.36955,32.4,0.9,False,2.6,0.2,0,0.792954,0.61799,,,
CFM56-5A4,24.4524,0.781356,0.820338,1.47863,40.6,1.1,False,3.5,0.23,0,0.880864,0.612078,,,
CFM56-5A5,24.752,0.790503,0.852771,1.43613,37,1.1,False,3.06,0.23,0,0.911689,0.519068,,,
CFM56-5B1,26.0062,0.879235,0.584681,2.06608,56.8,0.5,False,6.42,0.1,0,0.251654,2.72217,,,
CFM56-5B1/2,17.8018,1.04113,43.0885,-0.115238,68,1.55,False,18.2,0.1,0,50.6119,-1.97258,,,
CFM56-5B1/2P,17.263,0.847347,15.4377,0.40425,73,1.35,False,7.4,0.1,0,4.9442,-0.300967,,,
CFM56-5B1/3,20.3324,0.750909,0.93327,1.63953,55.84,0.29,False,2.74,0.025,0,0.103018,3.13678,,,
CFM56-5B1/P,25.9457,0.839644,0.850877,1.55682,39.6,0.9,False,7.4,0.15,0,0.872734,1.10362,,,
CFM56-5B2,26.4333,0.911113,0.565428,2.09543,54.8,0.5,False,6.08,0.1,0,0.291687,2.52465,,,
CFM56-5B2/2,18.0659,1.09278,37.8497,-0.056918,67.4,1.05,False,16.8,0.1,0,40.9445,-1.86139,,,
