uid,name,type,manufacturer,bpr,pr,max_thrust,fuel_c3,fuel_c2,fuel_c1,cruise_thrust,cruise_sfc,curise_mach,curise_alt
1AS001,TFE731-2-2B,TF,Allied Signal,2.64,13.9,15600,0.10985392011988346,-0.17968659268209305,0.2754974053953361,,,,
1AS002,TFE731-3,TF,Allied Signal,2.64,14.3,16500,0.15942004833066853,-0.23964534684263716,0.3059077408208214,817.0,0.0232,0.8,40000.0
4AL003,AE3007A,MTF,Rolls-Royce Corporation,5.23,18.08,33730,0.23729438514908535,-0.3573270235853785,0.49891578930936525,,,,
6AL007,AE3007A1,MTF,Rolls-Royce Corporation,4.77,17.97,34910,0.20575079685949516,-0.28747668879951455,0.4660973176695493,,,,
6AL010,AE3007A1/1,MTF,Rolls-Royce Corporation,4.77,17.9,34740,0.20507757041522764,-0.28707938509173214,0.46426445907772945,,,,
6AL013,AE3007A1/3,MTF,Rolls-Royce Corporation,4.81,17.22,33050,0.1928965674837752,-0.2795385129634341,0.4473229057141637,,,,
6AL020,AE3007A1E,MTF,Rolls-Royce Corporation,4.72,19.06,37160,0.19897216090019876,-0.26973293538271503,0.4847334971283227,,,,
6AL016,AE3007A1P,MTF,Rolls-Royce Corporation,4.77,17.9,34740,0.20717680200155617,-0.29020934411973714,0.46539939351533854,,,,
10AL026,AE3007A2,MTF,Rolls-Royce Corporation,4.79,20.2,42230,0.2366370210554273,-0.3319532712629204,0.5633626090622388,,,,
6AL019,AE3007A3,MTF,Rolls-Royce Corporation,4.72,17.2,33000,0.1915762775627002,-0.2780961772357212,0.446594209553701,,,,
8AL025,AE3007C,MTF,Rolls-Royce Corporation,5.2,15.8,29620,0.17008396444364543,-0.261941009339206,0.39421215142794586,,,,
6AL024,AE3007C1,MTF,Rolls-Royce Corporation,5.1,16.58,31460,0.2011059066923201,-0.2993105058371151,0.42203773749103934,,,,
13AL027,AE3007C2,MTF,Rolls-Royce Corporation,4.99,17.44,32729,0.23569737320355005,-0.3443212723052169,0.437101720736574,,,,
1AA001,D-30,MTF,Aviadvigatel,0.85,18.4,66640,0.3771340179569993,-0.5858363261192772,1.363165738580489,,,,
1AA002,D-30KP-2,MTF,Aviadvigatel,2.2,19.45,117600,0.5227534307938799,-0.7776179767809597,1.9342215176670203,,,,
1AA003,D-30KU,MTF,Aviadvigatel,2.35,17.4,112700,0.846858697947571,-1.449999420146321,2.1318221242625306,,,,
1AA004,D-30KU-154,MTF,Aviadvigatel,2.3,17,107500,2.0311065574965603,-2.7459448751218463,2.143178737417722,,,,
13AA006,PS-90A,MTF,Aviadvigatel,4.48,30.8,154600,0.9844127282179435,-1.5746814444014314,2.125390391450633,,,,
13AA007,PS-90A1,MTF,Aviadvigatel,4.36,33.79,169700,1.2561214183561653,-1.8556951207557049,2.2565284285182465,,,,
13AA008,PS-90A2,MTF,Aviadvigatel,4.32,31.23,156950,1.6475368316059478,-2.5523294467523985,2.2875212676299057,,,,
4BR008,BR700-710A1-10,MTF,Rolls-Royce Deutschland,4.2,24.23,65610,0.4052548861406183,-0.5832654701277408,0.8944914935759536,,,,
4BR009,BR700-710A2-20,MTF,Rolls-Royce Deutschland,4.19,24.16,65610,0.40111726246699786,-0.5766020791646522,0.8929746894169215,,,,
6BR010,BR700-710C4-11,MTF,Rolls-Royce Deutschland,4.05,24.95,68770,0.3740622279372552,-0.4903213498683159,0.8662060487882153,,,,
4BR005,BR700-715A1-30,MTF,Rolls-Royce Deutschland,4.68,28.75,83230,0.4747497286716015,-0.636671978415724,0.9968899269747931,,,,
4BR006,BR700-715B1-30,MTF,Rolls-Royce Deutschland,4.6,30.58,89680,0.4600221068515534,-0.5852269794252642,1.0391480217427513,,,,
4BR007,BR700-715C1-30,MTF,Rolls-Royce Deutschland,4.54,32.15,95330,0.4994921721544586,-0.5996419980053154,1.0879305958550414,,,,
11BR011,BR-700-725A1-12,MTF,Rolls-Royce Deutschland,4.35,26.16,75700,0.3642534391479348,-0.4482664038825223,0.8760920809612109,,,,
1CM001,CFM56-2A,TF,CFM International,6.0,25.2,106760,0.6998997266125796,-0.9117036656317999,1.3307167613026394,,,,
1CM002,CFM56-2B-1,TF,CFM International,6.0,23.5,97860,0.7026581299809309,-1.0614277827371945,1.348383004619695,,,,
1CM003,CFM56-2-C5,TF,CFM International,6.0,23.5,97860,0.7026581299809309,-1.0614277827371945,1.348383004619695,,,,
1CM004,CFM56-3-B1,TF,CFM International,5.1,22.44,89410,0.4970221521795758,-0.7408121054361723,1.193843254169977,,,,
1CM005,CFM56-3B-2,TF,CFM International,5.1,24.1,98300,0.5238543628876365,-0.7323080464189888,1.268474090380853,,,,
1CM006,CFM56-3C-1,TF,CFM International,5.1,21.3,82290,0.5039605557315086,-0.7753811350430574,1.1475228484195172,,,,
1CM008,CFM56-5-A1,TF,CFM International,6.0,26.6,111200,0.4376369067576047,-0.5015714104738476,1.1179426368411192,,,,
1CM009,CFM56-5A3,TF,CFM International,6.0,27.9,117880,0.440627275916036,-0.4675930169865153,1.1609881403183637,5000.0,0.0169,0.8,35000.0
4CM035,CFM56-5A4,TF,CFM International,6.0,23.8,97890,0.44752596299073055,-0.5907388100545503,1.0431692727635338,5000.0,,0.8,35000.0
4CM036,CFM56-5A5,TF,CFM International,6.0,25.1,104530,0.4505378734313376,-0.558990729034585,1.0834124356693715,5000.0,,0.8,35000.0
2CM012,CFM56-5B1,TF,CFM International,5.7,30.2,133450,0.42727157076142736,-0.3965792052758943,1.3313694922152803,5840.0,0.0169,0.8,35000.0
2CM016,CFM56-5B1/2,TF,CFM International,5.7,30.2,133450,0.526490432112543,-0.5840320564784722,1.4065153472902023,,,,
3CM020,CFM56-5B1/2P,TF,CFM International,5.7,30.5,133500,0.6944912507904979,-0.8218762268594184,1.450050318094788,,,,
8CM052,CFM56-5B1/3,TF,CFM International,5.5,30.2,133400,0.5624622727496568,-0.540282829869225,1.2982812988948267,,,,
3CM023,CFM56-5B1/P,TF,CFM International,5.7,30.47,133450,0.42011429241795595,-0.38402942939532747,1.2617158731567373,,,,
2CM013,CFM56-5B2,TF,CFM International,5.6,31.3,137900,0.5168368247183805,-0.47186435022103634,1.3839290009092389,5840.0,0.0154,0.8,35000.0
2CM017,CFM56-5B2/2,TF,CFM International,5.7,31.2,137900,0.7593492441296633,-0.8333526518710453,1.483706643754854,,,,
4CM037,CFM56-5B2/2P,TF,CFM International,5.6,31.6,137900,0.9726816266495985,-1.1808729385115178,1.6009879775548654,,,,
8CM053,CFM56-5B2/3,TF,CFM International,5.5,31.3,137900,0.6590715468454811,-0.6203102147435269,1.3485606089262145,,,,
3CM024,CFM56-5B2/P,TF,CFM International,5.6,31.57,137900,0.5530348856103404,-0.5134250611589233,1.3240978292966732,,,,
4CM038,CFM56-5B3/2P,TF,CFM International,5.6,32.8,142400,1.2161754369739768,-1.422427187706244,1.678530798606566,,,,
8CM054,CFM56-5B3/3,TF,CFM International,5.4,32.6,142300,0.8174954342494408,-0.7652311237336779,1.411845439007927,,,,
3CM025,CFM56-5B3/P,TF,CFM International,5.6,32.78,142350,0.6871094138587805,-0.6341905714859837,1.3796283828160987,,,,
2CM014,CFM56-5B4,TF,CFM International,5.9,27.1,117900,0.4107323821147696,-0.4657501360241133,1.223825188523911,5000.0,0.0154,0.8,35000.0
2CM018,CFM56-5B4/2,TF,CFM International,5.7,27.1,117900,0.4947638686889796,-0.6152741209562507,1.3044016813917723,,,,
3CM021,CFM56-5B4/2P,TF,CFM International,5.9,27.7,120100,0.4896840320054233,-0.6838660825346384,1.3377153821922352,,,,
8CM055,CFM56-5B4/3,TF,CFM International,5.7,27.3,120100,0.39380852274913664,-0.42668662784434747,1.1774535646039288,,,,
3CM026,CFM56-5B4/P,TF,CFM International,5.9,27.69,120110,0.34712404599296254,-0.3675259433265657,1.1553686961710086,,,,
8CM056,CFM56-5B5/3,TF,CFM International,6.0,23.1,97900,0.38098227748257096,-0.5177105118677053,1.0333678481204405,,,,
3CM027,CFM56-5B5/P,TF,CFM International,5.9,23.33,97890,0.35692995219871243,-0.47766992753938536,1.014752162475687,,,,
2CM019,CFM56-5B6/2,TF,CFM International,5.7,24.8,104500,0.6283907499032997,-0.9368118548595267,1.3092588204360092,,,,
