phase,param,opt,min,max,model,pm
TO,to_v_lof,88.1,78.7,97.5,norm,88.13|6.52
TO,to_d_tof,1.80,1.19,2.42,norm,1.81|0.38
TO,to_acc_tof,1.83,1.38,2.28,norm,1.83|0.27
IC,ic_va_avg,78,66,91,norm,78.72|8.77
IC,ic_vs_avg,11.19,5.78,16.62,norm,11.20|3.30
CL,cl_d_range,215,162,389,gamma,4.36|144.99|21.11
CL,cl_v_cas_const,140,133,156,gamma,8.78|122.65|2.36
CL,cl_v_mach_const,0.75,0.71,0.80,norm,0.75|0.03
CL,cl_h_cas_const,3.0,1.8,6.5,gamma,4.03|0.82|0.73
CL,cl_h_mach_const,9.2,8.1,10.2,norm,9.19|0.63
CL,cl_vs_avg_pre_cas,10.44,7.18,13.71,norm,10.44|1.98
CL,cl_vs_avg_cas_const,8.93,6.27,11.60,norm,8.93|1.62
CL,cl_vs_avg_mach_const,4.82,2.95,6.70,norm,4.82|1.14
CR,cr_d_range,734,464,2710,gamma,1.98|433.55|308.41
CR,cr_v_cas_mean,131,120,141,norm,131.14|6.25
CR,cr_v_cas_max,137,124,150,norm,137.30|7.93
CR,cr_v_mach_mean,0.77,0.74,0.81,norm,0.77|0.02
CR,cr_v_mach_max,0.79,0.76,0.85,gamma,17.56|0.68|0.01
CR,cr_h_init,10.99,9.99,12.00,norm,11.00|0.61
CR,cr_h_mean,11.05,10.05,12.05,norm,11.05|0.61
CR,cr_h_max,11.16,10.21,12.13,norm,11.17|0.58
DE,de_d_range,253,171,425,beta,2.17|3.85|161.90|315.91
DE,de_v_mach_const,0.77,0.72,0.81,norm,0.77|0.03
DE,de_v_cas_const,148,134,159,beta,3.94|3.27|124.00|42.94
DE,de_h_mach_const,9.3,8.0,10.6,norm,9.29|0.78
DE,de_h_cas_const,5.4,2.6,8.2,norm,5.42|1.72
DE,de_vs_avg_mach_const,-5.25,-11.79,-2.10,beta,4.50|2.29|-18.06|17.51
DE,de_vs_avg_cas_const,-9.08,-13.29,-4.85,norm,-9.07|2.56
DE,de_vs_avg_after_cas,-5.90,-7.92,-3.88,norm,-5.90|1.23
FA,fa_va_avg,70,64,76,norm,70.46|4.17
FA,fa_vs_avg,-3.57,-4.34,-2.81,norm,-3.57|0.47
FA,fa_agl,2.92,2.38,3.46,norm,2.92|0.33
LD,ld_v_app,66.9,56.6,77.2,norm,66.90|7.16
LD,ld_d_brk,2.10,0.70,3.52,norm,2.11|0.86
LD,ld_acc_brk,-1.08,-1.80,-0.36,norm,-1.08|0.44
